"","Position","GnA","Value"
"1","F",18,144
"2","F",17,135
"3","F",9,108
"4","F",5,90
"5","F",21,90
"6","F",5,90
"7","M",4,90
"8","F",6,90
"9","F",0,81
"10","M",2,81
"11","M",13,81
"12","M",7,81
"13","F",4,81
"14","F",3,76.5
"15","F",8,76.5
"16","F",7,76.5
"17","M",0,72
"18","M",9,72
"19","F",6,72
"20","M",0,72
"21","F",3,72
"22","M",5,67.5
"23","D",8,67.5
"24","D",2,67.5
"25","D",2,67.5
"26","M",10,63
"27","F",3,63
"28","D",5,63
"29","D",5,63
"30","M",6,63
"31","M",1,63
"32","F",7,63
"33","F",5,63
"34","D",1,63
"35","M",6,63
"36","M",8,63
"37","M",4,63
"38","D",1,63
"39","F",12,63
"40","M",4,63
"41","G",0,63
"42","M",1,63
"43","M",14,58.5
"44","F",4,58.5
"45","M",1,58.5
"46","G",0,58.5
"47","M",7,58.5
"48","D",2,58.5
"49","F",5,54
"50","D",0,54
"51","F",11,54
"52","F",9,54
"53","D",4,54
"54","D",1,54
"55","M",0,54
"56","D",0,54
"57","M",2,54
"58","D",3,54
"59","F",18,54
"60","M",7,54
"61","G",0,54
"62","G",0,54
"63","M",1,54
"64","F",25,54
"65","M",3,49.5
"66","F",3,49.5
"67","M",2,49.5
"68","M",6,49.5
"69","F",3,49.5
"70","M",1,49.5
"71","D",7,49.5
"72","F",3,49.5
"73","D",1,49.5
"74","M",0,49.5
"75","G",0,49.5
"76","D",4,49.5
"77","M",8,45
"78","F",5,45
"79","D",1,45
"80","F",4,45
"81","F",16,45
"82","F",15,45
"83","D",4,45
"84","F",1,45
"85","M",2,45
"86","M",1,45
"87","D",0,45
"88","F",0,45
"89","G",0,45
"90","F",10,45
"91","M",5,45
"92","D",1,45
"93","F",6,45
"94","D",1,45
"95","F",9,43.2
"96","D",3,43.2
"97","M",18,42.3
"98","D",8,40.5
"99","M",2,40.5
"100","M",6,40.5
"101","F",8,40.5
"102","D",3,40.5
"103","D",1,40.5
"104","F",6,40.5
"105","F",3,40.5
"106","M",11,40.5
"107","D",0,40.5
"108","D",1,40.5
"109","F",8,40.5
"110","F",5,40.5
"111","F",5,40.5
"112","M",4,40.5
"113","M",6,40.5
"114","F",11,40.5
"115","M",3,37.8
"116","F",10,37.8
"117","M",3,37.8
"118","M",1,37.8
"119","D",2,37.8
"120","F",10,37.8
"121","D",1,36
"122","D",0,36
"123","D",0,36
"124","D",0,36
"125","F",5,36
"126","D",0,36
"127","F",3,36
"128","M",7,36
"129","M",2,36
"130","F",6,36
"131","M",5,36
"132","D",0,36
"133","M",2,36
"134","D",0,36
"135","D",0,36
"136","F",6,36
"137","M",2,36
"138","M",1,36
"139","M",4,36
"140","F",10,36
"141","F",4,36
"142","D",3,36
"143","M",3,36
"144","M",3,36
"145","M",1,36
"146","F",4,36
"147","F",7,36
"148","M",6,36
"149","M",4,36
"150","M",2,34.2
"151","F",7,34.2
"152","D",3,34.2
"153","M",3,34.2
"154","F",13,34.2
"155","F",9,31.5
"156","F",0,31.5
"157","M",2,31.5
"158","M",9,31.5
"159","F",2,31.5
"160","F",14,31.5
"161","M",2,31.5
"162","F",3,31.5
"163","F",5,31.5
"164","M",7,31.5
"165","F",3,31.5
"166","F",2,31.5
"167","M",0,31.5
"168","D",0,31.5
"169","D",0,31.5
"170","D",1,31.5
"171","F",4,31.5
"172","F",2,31.5
"173","M",0,31.5
"174","F",4,31.5
"175","D",1,31.5
"176","D",4,31.5
"177","F",3,31.5
"178","M",4,31.5
"179","D",4,31.5
"180","D",1,31.5
"181","F",1,31.5
"182","F",8,31.5
"183","F",2,31.5
"184","D",1,31.5
"185","F",11,31.5
"186","D",1,31.5
"187","G",0,31.5
"188","D",2,31.5
"189","F",3,31.5
"190","M",2,29.7
"191","M",7,29.7
"192","F",13,29.7
"193","F",5,28.8
"194","F",3,28.8
"195","D",0,28.8
"196","F",2,28.8
"197","M",4,28.8
"198","D",0,28.8
"199","F",6,28.8
"200","F",4,28.8
"201","M",4,28.8
"202","D",1,28.8
"203","D",1,28.8
"204","M",0,28.8
"205","F",10,27
"206","F",3,27
"207","M",5,27
"208","F",5,27
"209","G",0,27
"210","M",5,27
"211","D",3,27
"212","M",3,27
"213","F",3,27
"214","F",8,27
"215","M",1,27
"216","D",0,27
"217","F",5,27
"218","M",1,27
"219","M",1,27
"220","D",1,27
"221","D",0,27
"222","D",1,27
"223","F",5,27
"224","F",4,27
"225","D",2,27
"226","M",3,27
"227","M",3,27
"228","F",0,27
"229","M",3,27
"230","F",3,27
"231","D",0,27
"232","M",1,27
"233","M",4,27
"234","F",6,27
"235","M",5,27
"236","F",2,27
"237","F",2,27
"238","F",8,27
"239","F",18,27
"240","M",3,27
"241","M",1,27
"242","D",0,25.2
"243","D",0,25.2
"244","M",1,25.2
"245","M",8,25.2
"246","D",1,25.2
"247","D",2,25.2
"248","M",1,25.2
"249","D",2,25.2
"250","F",0,25.2
"251","M",1,25.2
"252","M",6,25.2
"253","D",0,25.2
"254","F",10,25.2
"255","D",0,25.2
"256","F",4,25.2
"257","D",0,25.2
"258","D",1,25.2
"259","F",4,24.3
"260","M",9,24.3
"261","M",3,24.3
"262","M",1,24.3
"263","D",1,24.3
"264","F",19,24.3
"265","D",0,24.3
"266","F",4,24.3
"267","F",0,23.4
"268","F",0,23.4
"269","M",1,23.4
"270","M",1,23.4
"271","D",0,23.4
"272","M",1,22.5
"273","M",0,22.5
"274","F",0,22.5
"275","F",10,22.5
"276","D",3,22.5
"277","F",8,22.5
"278","D",3,22.5
"279","F",13,22.5
"280","D",1,22.5
"281","D",1,22.5
"282","D",0,22.5
"283","F",9,22.5
"284","F",9,22.5
"285","D",1,22.5
"286","F",10,22.5
"287","D",2,22.5
"288","D",0,22.5
"289","M",1,22.5
"290","F",2,22.5
"291","F",8,22.5
"292","M",3,22.5
"293","F",9,22.5
"294","M",0,22.5
"295","D",0,22.5
"296","D",3,22.5
"297","D",0,22.5
"298","F",10,22.5
"299","M",2,22.5
"300","F",4,22.5
"301","F",2,22.5
"302","F",0,22.5
"303","F",9,22.5
"304","M",0,22.5
"305","D",2,22.5
"306","D",2,22.5
"307","F",11,22.5
"308","D",3,22.5
"309","F",3,22.5
"310","F",4,22.5
"311","D",0,22.5
"312","D",1,22.5
"313","D",0,22.5
"314","F",7,22.5
"315","M",5,22.5
"316","D",1,22.5
"317","G",0,22.5
"318","F",13,22.5
"319","D",1,22.5
"320","D",2,22.5
"321","M",1,22.5
"322","D",0,22.5
"323","D",1,22.5
"324","G",0,22.5
"325","D",1,22.5
"326","M",6,22.5
"327","D",3,22.5
"328","D",0,22.5
"329","F",3,22.5
"330","F",6,22.5
"331","M",1,22.5
"332","F",9,22.5
"333","F",1,22.5
"334","F",22,22.5
"335","F",5,21.6
"336","M",3,21.6
"337","F",11,21.6
"338","M",6,21.6
"339","D",2,21.6
"340","D",2,21.6
"341","D",2,20.7
"342","M",9,20.7
"343","M",6,20.7
"344","M",8,20.7
"345","M",1,20.7
"346","F",10,20.7
"347","F",2,19.8
"348","F",1,19.8
"349","D",0,19.8
"350","F",4,19.8
"351","M",6,19.8
"352","F",15,19.8
"353","D",2,19.8
"354","F",1,19.8
"355","D",0,19.8
"356","F",0,19.8
"357","F",6,19.8
"358","M",2,19.8
"359","M",2,19.8
"360","M",0,19.8
"361","F",1,19.8
"362","M",4,19.8
"363","F",8,19.8
"364","M",1,19.8
"365","D",3,19.8
"366","F",1,19.8
"367","F",3,19.8
"368","F",12,19.8
"369","D",0,19.8
"370","G",0,19.8
"371","F",3,19.8
"372","D",1,19.8
"373","D",5,19.8
"374","M",1,19.8
"375","F",4,19.8
"376","D",0,19.8
"377","M",0,19.8
"378","D",0,19.8
"379","M",3,19.8
"380","F",5,19.8
"381","M",1,19.8
"382","F",4,19.8
"383","M",0,19.8
"384","F",4,19.8
"385","M",2,18.9
"386","F",7,18.9
"387","M",8,18
"388","F",21,18
"389","M",14,18
"390","M",1,18
"391","D",4,18
"392","F",10,18
"393","G",0,18
"394","F",0,18
"395","F",17,18
"396","M",4,18
"397","F",8,18
"398","M",0,18
"399","D",0,18
"400","G",0,18
"401","M",1,18
"402","F",1,18
"403","D",3,18
"404","F",5,18
"405","D",1,18
"406","M",3,18
"407","M",2,18
"408","F",9,18
"409","M",6,18
"410","D",2,18
"411","D",2,18
"412","D",0,18
"413","F",3,18
"414","M",3,18
"415","M",0,18
"416","M",1,18
"417","D",0,18
"418","M",0,18
"419","M",0,18
"420","F",1,18
"421","M",1,18
"422","F",8,18
"423","M",0,18
"424","D",0,18
"425","F",1,18
"426","G",0,18
"427","F",3,18
"428","D",1,18
"429","D",0,18
"430","D",0,18
"431","M",1,18
"432","D",1,18
"433","G",0,18
"434","F",5,18
"435","M",1,18
"436","F",4,18
"437","F",3,18
"438","G",0,18
"439","M",3,18
"440","D",0,18
"441","M",6,18
"442","F",2,18
"443","D",1,18
"444","M",5,18
"445","M",0,18
"446","F",7,18
"447","D",1,18
"448","F",0,18
"449","F",6,18
"450","F",5,18
"451","F",1,18
"452","D",0,18
"453","M",2,18
"454","F",4,18
"455","M",1,18
"456","D",2,18
"457","M",4,18
"458","M",4,18
"459","F",5,18
"460","D",2,17.1
"461","D",0,17.1
"462","M",3,17.1
"463","D",0,16.2
"464","D",2,16.2
"465","F",3,16.2
"466","D",0,16.2
"467","F",7,16.2
"468","F",3,16.2
"469","M",6,16.2
"470","D",0,16.2
"471","D",3,16.2
"472","F",4,16.2
"473","D",0,16.2
"474","M",5,16.2
"475","F",0,16.2
"476","D",1,16.2
"477","F",2,16.2
"478","M",0,16.2
"479","F",5,16.2
"480","D",2,16.2
"481","D",7,16.2
"482","F",13,16.2
"483","M",1,16.2
"484","F",1,16.2
"485","F",7,16.2
"486","F",1,16.2
"487","M",0,16.2
"488","M",2,16.2
"489","M",0,16.2
"490","G",0,16.2
"491","G",0,16.2
"492","M",1,16.2
"493","F",4,16.2
"494","D",0,16.2
"495","F",4,16.2
"496","M",0,16.2
"497","F",4,16.2
"498","G",0,16.2
"499","D",0,16.2
"500","D",4,16.2
